#,Symbol,Trades,Profit Trades %,Total Profit $,Profit Factor,Max Drawdown %
671,KXI,99,70,43402,1.89,0.00
672,NUGT,99,65,119491,1.28,1.00
673,PBP,99,80,64947,2.63,0.00
674,PDN,99,71,40886,1.47,0.00
675,PSK,99,65,2332,1.05,0.00
676,RETL,99,75,257628,1.90,1.00
677,RYT,99,69,64443,1.72,0.00
678,SCHC,99,70,614,1.01,0.00
679,SQQQ,99,60,40476,1.15,1.00
680,TNA,99,74,154227,1.46,1.00
681,UBG,99,71,48334,1.57,0.00
682,UST,99,76,24228,1.47,0.00
683,VGIT,99,72,8176,1.50,0.00
684,WIP,99,55,-44588,0.48,1.00
685,DBV,98,70,31891,1.59,0.00
686,DGIT,98,62,14870,1.04,1.00
687,DGL,98,61,19951,1.25,0.00
688,DIAL,98,61,-43032,0.92,2.00
689,ECON,98,62,12395,1.12,0.00
690,FLM,98,73,75201,1.70,1.00
691,IGLB,98,69,14430,1.29,0.00
692,ITF,98,78,95656,2.65,0.00
693,JKF,98,76,49115,1.85,0.00
694,MCHI,98,70,-276,1.00,0.00
695,NIB,98,60,22568,1.13,1.00
696,PKN,98,67,74568,1.50,0.00
697,PSCD,98,77,88677,1.83,0.00
698,PTF,98,67,71590,1.64,0.00
699,PWER,98,66,42405,1.10,1.00
700,QAI,98,73,12072,1.53,0.00
701,ROX,98,68,180209,1.61,2.00
702,SCHR,98,67,6580,1.44,0.00
703,SCHV,98,74,56832,2.15,0.00
704,TECL,98,71,229271,2.04,1.00
705,UGL,98,62,55879,1.40,0.00
706,USV,98,68,132318,1.86,1.00
707,VIOV,98,79,79097,1.94,0.00
708,ZROZ,98,71,64861,2.00,0.00
709,ATMP,97,69,21139,1.17,1.00
710,BWZ,97,65,-14059,0.72,0.00
711,CMF,97,55,-22740,0.51,0.00
712,GREK,97,68,38139,1.22,1.00
713,IGIB,97,68,-12213,0.67,0.00
714,INDY,97,68,13544,1.13,0.00
715,IVOV,97,75,22168,1.23,1.00
716,LTPZ,97,70,15275,1.24,0.00
717,MLPA,97,70,-37200,0.75,1.00
718,NBCT,97,79,256663,2.57,1.00
719,PWO,97,71,68729,1.65,0.00
720,PWZ,97,56,-33801,0.45,0.00
721,RKH,97,75,116593,2.09,0.00
722,SPVM,97,73,34430,1.39,0.00
723,UJB,97,67,76139,2.24,0.00
724,VCLT,97,73,13179,1.25,0.00
725,BPO,96,72,109001,2.00,0.00
726,EUSA,96,79,51389,1.66,0.00
727,GCE,96,73,182552,2.93,0.00
728,GUNR,96,65,5743,1.07,0.00
729,INDL,96,66,-40052,0.88,1.00
730,IWX,96,77,59332,2.26,0.00
731,KBWD,96,68,-1238,0.99,1.00
732,PLW,96,66,22500,1.74,0.00
733,QSY,96,76,25439,1.25,0.00
734,ROOF,96,71,64364,1.76,0.00
735,SCHA,96,76,54000,1.53,0.00
736,SCHF,96,71,46193,1.61,0.00
737,SPHB,96,75,65749,1.57,1.00
738,SPLB,96,75,30115,1.76,0.00
739,SPMB,96,82,32874,3.02,0.00
740,SPXL,96,76,197765,2.11,0.00
741,UBC,96,73,59254,1.65,0.00
742,UPV,96,68,79647,1.47,1.00
743,URTY,96,76,189283,1.67,1.00
744,VGLT,96,68,44991,2.33,0.00
745,XTN,96,73,80377,1.70,0.00
746,CARZ,95,64,-4600,0.97,1.00
747,CEW,95,63,-6794,0.87,0.00
748,DBJP,95,72,37145,1.38,0.00
749,DIET,95,71,463318,2.60,1.00
750,JKG,95,74,42088,1.51,0.00
751,JKH,95,71,57995,1.72,0.00
752,LUX,95,77,131621,2.62,0.00
753,SCHG,95,76,97093,2.76,0.00
754,SCHM,95,79,41098,1.47,0.00
755,SCHX,95,78,73813,2.62,0.00
756,SOYB,95,65,44197,1.63,0.00
757,TSO,95,64,-48251,0.85,1.00
758,VIOG,95,76,72983,1.90,0.00
759,ARGT,94,68,-1316,0.99,0.00
760,BAL,94,65,-56674,0.71,1.00
761,BSV,94,71,5179,1.66,0.00
762,EEMA,94,73,49676,1.70,0.00
763,ENOR,94,71,36009,1.36,0.00
764,EWZS,94,67,-125,1.00,1.00
765,FILL,94,65,-6550,0.95,1.00
766,IWY,94,79,97458,3.12,0.00
767,JKL,94,63,-43733,0.74,1.00
768,MCRO,94,70,18955,1.91,0.00
769,NPF,94,66,-354,1.00,0.00
770,PSCI,94,73,53792,1.49,0.00
771,RWO,94,62,-18948,0.86,1.00
772,RYU,94,71,48020,1.77,0.00
773,SCJ,94,65,-11572,0.89,0.00
774,SMIN,94,62,-27782,0.83,1.00
775,STPZ,94,71,-205,0.98,0.00
776,TDTF,94,80,6957,1.35,0.00
777,TYBS,94,68,10816,1.13,0.00
778,VEGA,94,80,48905,2.76,0.00
779,BYI,93,67,124832,1.65,1.00
780,CSM,93,77,64664,2.39,0.00
781,DOO,93,72,72616,1.93,0.00
782,EDIV,93,60,-15050,0.86,0.00
783,EIRL,93,69,59586,1.68,0.00
784,EMLC,93,58,-39462,0.54,0.00
785,ENZL,93,69,29900,1.41,0.00
786,EQL,93,77,70726,2.57,0.00
787,FEM,93,62,-25843,0.81,1.00
788,GLTR,93,58,-20124,0.81,1.00
789,GRES,93,70,17606,1.25,0.00
790,PCEF,93,51,-20188,0.72,0.00
791,SCHP,93,77,7102,1.30,0.00
792,SCHZ,93,68,2697,1.13,0.00
793,UPRO,93,78,220033,2.66,0.00
794,VIOO,93,80,71105,1.89,0.00
795,VNQI,93,61,916,1.01,0.00
796,AGZ,92,74,7550,1.70,0.00
797,DRR,92,72,94732,2.49,0.00
798,DRW,92,65,17453,1.16,0.00
799,FEU,92,71,53813,1.89,0.00
800,FYT,92,72,6605,1.06,1.00
801,JADE,92,71,221814,1.87,1.00
802,NORW,92,74,61535,1.82,0.00
803,NYF,92,51,-23006,0.49,0.00
804,PMR,92,74,58043,1.70,0.00
805,PZT,92,60,-36128,0.43,0.00
806,RINF,92,66,27955,1.56,0.00
807,RJI,92,53,-78339,0.55,1.00
808,SGOL,92,64,13444,1.19,0.00
809,SOXL,92,74,321842,2.22,1.00
810,SSG,92,58,-101619,0.71,1.00
811,UMDD,92,77,164426,1.64,1.00
812,VONV,92,77,55317,2.17,0.00
813,VOOV,92,79,67227,2.68,0.00
814,VSB,92,78,391691,5.02,0.00
815,VTWG,92,76,41969,1.43,0.00
816,ZLC,92,68,144191,1.54,1.00
817,BICK,91,70,35312,1.32,0.00
818,CORP,91,66,-2903,0.91,0.00
819,CPER,91,64,16518,1.15,0.00
820,DEF,91,66,43870,1.73,0.00
821,EFNL,91,66,27035,1.31,0.00
822,FEP,91,68,-1755,0.98,0.00
823,FFR,91,67,35082,1.33,0.00
824,GBB,91,74,35865,1.64,0.00
825,HAST,91,65,188666,1.69,1.00
826,IWL,91,77,71265,3.00,0.00
827,IWZ,91,75,68009,1.92,0.00
828,JKJ,91,68,-14251,0.89,0.00
829,KOL,91,59,-29904,0.88,1.00
830,NFTY,91,78,67345,1.86,0.00
831,PSCT,91,73,72003,1.80,0.00
832,RING,91,63,39586,1.25,0.00
833,TBX,91,64,6329,1.21,0.00
834,TIPZ,91,74,3450,1.13,0.00
835,USCI,91,57,-41215,0.59,1.00
836,VEGI,91,69,3963,1.05,0.00
837,VRD,91,81,1814443,14.05,0.00
838,VXUS,91,70,34718,1.51,0.00
839,DDG,90,57,7776,1.07,0.00
840,DRN,90,68,119179,1.53,0.00
841,EEMS,90,66,2500,1.03,0.00
842,EFAV,90,71,31212,1.82,0.00
843,EIS,90,67,2740,1.02,1.00
844,ELD,90,59,-28666,0.59,0.00
845,FNK,90,71,27898,1.26,1.00
846,FPA,90,70,6829,1.06,1.00
847,GOVT,90,67,7351,1.50,0.00
848,HDG,90,74,16117,1.68,0.00
849,IVOG,90,82,96395,2.66,0.00
850,MBND,90,78,606176,5.33,1.00
851,MRGR,90,78,19109,2.03,0.00
852,PXMV,90,78,41381,1.46,0.00
853,PZI,90,68,2231,1.02,1.00
854,RJZ,90,62,-31482,0.75,0.00
855,SDIV,90,57,-54173,0.58,1.00
856,TTT,90,62,17305,1.08,1.00
857,VTWO,90,77,54448,1.61,0.00
858,YYY,90,53,-19229,0.76,0.00
859,AOM,89,75,18311,1.67,0.00
860,CANE,89,64,-8643,0.93,0.00
861,ITWO,89,69,98379,1.32,1.00
862,PANG,89,74,3173744,15.04,1.00
863,PSCU,89,65,-3087,0.97,0.00
864,SCHB,89,79,83945,2.86,0.00
865,TLTE,89,67,12497,1.15,0.00
866,VLU,89,79,69972,2.63,0.00
867,XHS,89,74,65948,1.98,0.00
868,ENY,88,61,-1534,0.99,0.00
869,FDT,88,69,-7914,0.92,0.00
870,FNY,88,80,80124,2.31,0.00
871,HEDJ,88,72,41395,1.62,0.00
872,IFEU,88,67,15409,1.14,0.00
873,KBWB,88,68,34914,1.30,1.00
874,PSCH,88,76,51142,1.55,0.00
875,PXSG,88,74,68875,1.75,0.00
876,RLY,88,67,-8417,0.87,0.00
877,SMB,88,73,3084,1.18,0.00
878,SPGP,88,78,59132,1.82,0.00
879,URR,88,64,136283,2.03,0.00
880,VTWV,88,75,23791,1.24,1.00
881,WDIV,88,73,14581,1.22,0.00
882,XHE,88,76,76844,2.09,0.00
883,EEB,87,74,88820,2.21,0.00
884,EELV,87,68,-8106,0.90,0.00
885,EINC,87,67,-82532,0.57,1.00
886,FBZ,87,68,-21288,0.88,1.00
887,FLN,87,64,-40263,0.75,1.00
888,GSC,87,63,30624,1.20,1.00
889,HAUZ,87,75,39315,1.61,0.00
890,IWW,87,78,49137,1.65,0.00
891,PXMG,87,82,106395,2.67,0.00
892,RIT,87,59,-59244,0.68,1.00
893,RJN,87,55,-81825,0.70,1.00
894,TMB,87,54,-134365,0.62,2.00
895,TQQQ,87,75,239750,2.48,0.00
896,UCI,87,71,19086,1.22,0.00
897,VTHR,87,78,66223,2.58,0.00
898,WTMF,87,67,12015,1.42,0.00
899,BAB,86,72,12691,1.44,0.00
900,COW,86,69,-9240,0.91,0.00
901,CVD,86,71,11093,1.07,1.00
902,DVYE,86,62,-64069,0.52,1.00
903,DWAS,86,77,95528,2.18,0.00
904,FKU,86,74,31179,1.33,1.00
905,GAL,86,74,29491,2.04,0.00
906,GDIV,86,67,1931686,7.20,2.00
907,KORU,86,62,86802,1.29,1.00
908,MLPI,86,66,-48194,0.70,1.00
909,PUW,86,67,21006,1.16,0.00
910,SCHH,86,71,36491,1.55,0.00
911,SHM,86,57,-6831,0.57,0.00
912,SILJ,86,71,45023,1.25,0.00
913,SOCL,86,65,68905,2.01,0.00
914,TAO,86,60,24268,1.17,0.00
915,VONG,86,78,78917,2.68,0.00
916,AXJL,85,71,75164,1.90,0.00
917,CMK,85,85,83960,3.33,0.00
918,CURE,85,66,135002,1.98,0.00
919,DPK,85,60,14247,1.08,0.00
920,DTN,85,72,24375,1.30,0.00
921,DWAT,85,80,60089,2.21,0.00
922,EEMV,85,65,-7780,0.87,0.00
923,EWGS,85,73,29146,1.29,0.00
